S1601_C01_001E,S1601_C01_002E,S1601_C01_003E,S1601_C01_004E,S1601_C01_008E,S1601_C01_012E,S1601_C01_016E,FIPS,STATEFP,COUNTYFP,TRACTCE
1898,1511,387,241,35,68,43,48027022105,48,027,022105
3310,2569,741,528,79,108,26,48027022200,48,027,022200
3424,2913,511,383,23,73,32,48027022300,48,027,022300
5192,4027,1165,1028,15,87,35,48027022401,48,027,022401
7244,5791,1453,894,185,217,157,48027022402,48,027,022402
4229,2986,1243,989,119,135,0,48027022403,48,027,022403
6746,4581,2165,1340,242,545,38,48027022404,48,027,022404
1982,1579,403,266,17,118,2,48027022405,48,027,022405
2842,1946,896,807,70,8,11,48027022501,48,027,022501
11185,7999,3186,1858,598,513,217,48027022502,48,027,022502
3758,2455,1303,1148,79,57,19,48027022600,48,027,022600
2083,1474,609,383,81,68,77,48027022801,48,027,022801
3312,2282,1030,682,172,176,0,48027022900,48,027,022900
9135,6875,2260,1168,318,635,139,48027023000,48,027,023000
4116,3324,792,441,128,195,28,48027023103,48,027,023103
2843,2135,708,613,76,14,5,48027023104,48,027,023104
14017,11436,2581,1639,408,475,59,48027023105,48,027,023105
7853,5897,1956,1293,294,257,112,48027023106,48,027,023106
6469,4964,1505,771,479,134,121,48027023107,48,027,023107
13115,9885,3230,2513,76,620,21,48027023108,48,027,023108
1121,903,218,118,10,81,9,48027023201,48,027,023201
4301,3184,1117,877,101,134,5,48027023202,48,027,023202
939,675,264,140,4,92,28,48027023203,48,027,023203
4524,3700,824,605,86,133,0,48027023204,48,027,023204
8057,6600,1457,1214,112,115,16,48027023300,48,027,023300
5140,4657,483,461,18,4,0,48027023402,48,027,023402
6519,6026,493,330,92,67,4,48027023403,48,027,023403
3911,3251,660,618,15,27,0,48027023404,48,027,023404
1958,1202,756,683,4,47,22,48027023500,48,027,023500
80,53,27,27,0,0,0,48027980001,48,027,980001
0,0,0,0,0,0,0,48027980002,48,027,980002
0,0,0,0,0,0,0,48027980003,48,027,980003
3115,1854,1261,1217,8,34,2,48029110100,48,029,110100
2679,1696,983,954,10,19,0,48029110300,48,029,110300
2040,769,1271,1204,67,0,0,48029110500,48,029,110500
5057,2297,2760,2685,43,0,32,48029110600,48,029,110600
1119,277,842,836,0,6,0,48029110700,48,029,110700
1957,1193,764,730,11,23,0,48029110800,48,029,110800
1652,1148,504,459,30,7,8,48029110900,48,029,110900
2784,1247,1537,1432,54,37,14,48029111000,48,029,111000
4264,3532,732,500,72,153,7,48029120100,48,029,120100
8020,6691,1329,1063,86,141,39,48029120300,48,029,120300
5844,4920,924,829,39,56,0,48029120400,48,029,120400
9129,5030,4099,3801,91,207,0,48029120501,48,029,120501
4880,2665,2215,1951,90,174,0,48029120502,48,029,120502
5540,4217,1323,1099,139,85,0,48029120600,48,029,120600
5964,3231,2733,2427,202,104,0,48029120701,48,029,120701
4455,3064,1391,1177,182,32,0,48029120702,48,029,120702
6371,5473,898,673,124,101,0,48029120800,48,029,120800
2143,1369,774,724,0,50,0,48029120901,48,029,120901
6693,4731,1962,1710,167,85,0,48029120902,48,029,120902
6953,4738,2215,2020,130,65,0,48029121000,48,029,121000
7528,6316,1212,976,193,43,0,48029121108,48,029,121108
4786,3566,1220,969,102,123,26,48029121110,48,029,121110
6256,4146,2110,1504,23,222,361,48029121111,48,029,121111
3626,2788,838,689,42,94,13,48029121112,48,029,121112
5531,4529,1002,809,0,164,29,48029121115,48,029,121115
5096,3818,1278,1126,52,66,34,48029121116,48,029,121116
4452,3412,1040,815,93,132,0,48029121117,48,029,121117
5802,4813,989,645,308,36,0,48029121118,48,029,121118
5782,4679,1103,751,14,338,0,48029121119,48,029,121119
4888,3026,1862,1660,74,67,61,48029121120,48,029,121120
2745,2503,242,213,29,0,0,48029121121,48,029,121121
5689,4531,1158,1022,88,32,16,48029121122,48,029,121122
4428,3010,1418,1280,82,56,0,48029121203,48,029,121203
7278,5100,2178,1527,284,197,170,48029121204,48,029,121204
3949,2604,1345,1238,61,23,23,48029121205,48,029,121205
7998,5939,2059,1890,0,169,0,48029121206,48,029,121206
6407,4439,1968,1278,283,386,21,48029121300,48,029,121300
7185,2952,4233,3754,58,421,0,48029121402,48,029,121402
5682,3615,2067,1783,80,195,9,48029121403,48,029,121403
5032,2744,2288,2161,17,110,0,48029121404,48,029,121404
9251,6469,2782,2328,150,304,0,48029121501,48,029,121501
5987,4146,1841,1474,179,188,0,48029121504,48,029,121504
4643,3501,1142,940,107,95,0,48029121505,48,029,121505
3655,2572,1083,1054,14,15,0,48029121506,48,029,121506
4254,2935,1319,1197,53,59,10,48029121507,48,029,121507
4175,2475,1700,1491,10,199,0,48029121508,48,029,121508
5326,3845,1481,1279,107,95,0,48029121601,48,029,121601
8544,6311,2233,2115,105,13,0,48029121604,48,029,121604
1910,1518,392,312,17,63,0,48029121605,48,029,121605
4633,3392,1241,1097,85,59,0,48029121606,48,029,121606
4298,2924,1374,1134,93,147,0,48029121701,48,029,121701
7073,5841,1232,882,90,260,0,48029121702,48,029,121702
7813,5695,2118,1960,27,131,0,48029121802,48,029,121802
4711,3439,1272,1176,96,0,0,48029121803,48,029,121803
6650,5094,1556,1424,43,79,10,48029121804,48,029,121804
3097,2143,954,923,0,31,0,48029121808,48,029,121808
4865,3671,1194,922,51,221,0,48029121809,48,029,121809
4525,3562,963,819,62,71,11,48029121810,48,029,121810
5182,4077,1105,966,64,75,0,48029121811,48,029,121811
6101,4698,1403,1307,85,11,0,48029121812,48,029,121812
1661,1507,154,137,5,12,0,48029121813,48,029,121813
5722,4257,1465,872,389,186,18,48029121903,48,029,121903
3006,2381,625,380,169,76,0,48029121904,48,029,121904
5293,3826,1467,1018,302,147,0,48029121905,48,029,121905
5395,4099,1296,812,434,35,15,48029121906,48,029,121906
11647,9164,2483,2225,52,206,0,48029121907,48,029,121907
2553,2197,356,323,22,11,0,48029121908,48,029,121908
7444,5684,1760,1362,166,232,0,48029121909,48,029,121909
6832,5450,1382,812,185,347,38,48029121910,48,029,121910
1551,807,744,732,0,12,0,48029130200,48,029,130200
3123,1279,1844,1806,23,15,0,48029130300,48,029,130300
3762,1223,2539,2533,3,0,3,48029130401,48,029,130401
3962,2039,1923,1920,3,0,0,48029130402,48,029,130402
4439,2427,2012,2012,0,0,0,48029130500,48,029,130500
3693,2081,1612,1612,0,0,0,48029130600,48,029,130600
2345,1329,1016,1016,0,0,0,48029130700,48,029,130700
5640,4001,1639,1611,27,0,1,48029130800,48,029,130800
4577,2797,1780,1530,98,130,22,48029130900,48,029,130900
4967,3329,1638,1512,10,87,29,48029131000,48,029,131000
2400,1391,1009,1009,0,0,0,48029131100,48,029,131100
2709,1865,844,816,28,0,0,48029131200,48,029,131200
5764,4290,1474,1323,86,65,0,48029131300,48,029,131300
9801,6313,3488,3024,50,259,155,48029131401,48,029,131401
2909,1818,1091,1025,17,39,10,48029131402,48,029,131402
2900,1940,960,852,7,101,0,48029131503,48,029,131503
4468,2696,1772,1732,8,32,0,48029131504,48,029,131504
5147,2986,2161,1979,0,58,124,48029131505,48,029,131505
3625,2216,1409,1264,80,65,0,48029131506,48,029,131506
5980,3313,2667,2601,24,32,10,48029131507,48,029,131507
5130,4124,1006,841,133,32,0,48029131601,48,029,131601
5557,4137,1420,1140,171,109,0,48029131606,48,029,131606
5505,4040,1465,1273,38,53,101,48029131608,48,029,131608
6181,4231,1950,1511,80,359,0,48029131609,48,029,131609
4504,3172,1332,1184,119,29,0,48029131610,48,029,131610
853,617,236,172,0,59,5,48029131611,48,029,131611
1742,1288,454,425,0,29,0,48029131612,48,029,131612
3755,2248,1507,1250,51,104,102,48029131613,48,029,131613
3629,2600,1029,893,43,62,31,48029131614,48,029,131614
7064,4508,2556,2400,11,145,0,48029131615,48,029,131615
1009,905,104,55,20,29,0,48029131700,48,029,131700
1976,1769,207,193,14,0,0,48029131801,48,029,131801
4163,3298,865,831,22,12,0,48029131802,48,029,131802
1173,517,656,656,0,0,0,48029140100,48,029,140100
3224,1471,1753,1727,0,17,9,48029140200,48,029,140200
3442,1178,2264,2264,0,0,0,48029140300,48,029,140300
3398,1800,1598,1482,88,28,0,48029140400,48,029,140400
3818,1998,1820,1775,11,34,0,48029140500,48,029,140500
2618,1389,1229,1181,0,47,1,48029140600,48,029,140600
4582,2681,1901,1815,86,0,0,48029140700,48,029,140700
4805,1733,3072,3030,42,0,0,48029140800,48,029,140800
1835,917,918,918,0,0,0,48029140900,48,029,140900
3341,1511,1830,1812,18,0,0,48029141000,48,029,141000
3662,2001,1661,1659,2,0,0,48029141101,48,029,141101
3084,1729,1355,1355,0,0,0,48029141102,48,029,141102
6951,3394,3557,3552,4,1,0,48029141200,48,029,141200
6492,3902,2590,2445,68,77,0,48029141300,48,029,141300
5578,3138,2440,2428,0,12,0,48029141402,48,029,141402
4412,2582,1830,1744,11,52,23,48029141403,48,029,141403
5586,2761,2825,2690,133,0,2,48029141404,48,029,141404
4553,2158,2395,2379,0,7,9,48029141600,48,029,141600
5352,3513,1839,1817,5,0,17,48029141700,48,029,141700
3589,2172,1417,1397,17,0,3,48029141800,48,029,141800
4399,3262,1137,1095,42,0,0,48029141900,48,029,141900
5231,2150,3081,3051,0,30,0,48029150100,48,029,150100
4700,1953,2747,2705,0,42,0,48029150300,48,029,150300
4596,1583,3013,3004,0,1,8,48029150400,48,029,150400
4100,1046,3054,3054,0,0,0,48029150501,48,029,150501
3316,837,2479,2479,0,0,0,48029150502,48,029,150502
4633,1815,2818,2810,8,0,0,48029150600,48,029,150600
6765,2210,4555,4536,0,19,0,48029150700,48,029,150700
2364,1266,1098,1091,0,0,7,48029150800,48,029,150800
6477,3078,3399,3399,0,0,0,48029150900,48,029,150900
3780,1317,2463,2456,7,0,0,48029151000,48,029,151000
7491,3117,4374,4374,0,0,0,48029151100,48,029,151100
10711,4767,5944,5736,9,199,0,48029151200,48,029,151200
5352,1848,3504,3493,10,0,1,48029151301,48,029,151301
3410,1354,2056,2056,0,0,0,48029151302,48,029,151302
5096,1945,3151,3131,20,0,0,48029151400,48,029,151400
2462,1281,1181,1165,16,0,0,48029151500,48,029,151500
7774,4048,3726,3661,3,61,1,48029151600,48,029,151600
7065,3743,3322,3322,0,0,0,48029151700,48,029,151700
6732,2976,3756,3564,1,191,0,48029151900,48,029,151900
2831,1537,1294,1268,1,20,5,48029152000,48,029,152000
4665,2585,2080,1994,61,25,0,48029152100,48,029,152100
6603,3091,3512,3466,14,32,0,48029152201,48,029,152201
5025,2664,2361,2317,10,34,0,48029152202,48,029,152202
6294,1967,4327,4326,1,0,0,48029160100,48,029,160100
3050,1054,1996,1995,0,1,0,48029160200,48,029,160200
5155,2217,2938,2908,0,30,0,48029160300,48,029,160300
4907,1705,3202,3202,0,0,0,48029160400,48,029,160400
4031,1976,2055,2011,12,32,0,48029160501,48,029,160501
4081,1535,2546,2538,7,1,0,48029160502,48,029,160502
4841,1565,3276,3199,75,2,0,48029160600,48,029,160600
3684,1557,2127,2127,0,0,0,48029160701,48,029,160701
5082,1884,3198,3198,0,0,0,48029160702,48,029,160702
2522,878,1644,1644,0,0,0,48029160901,48,029,160901
4838,1324,3514,3512,1,1,0,48029160902,48,029,160902
3735,1585,2150,2150,0,0,0,48029161000,48,029,161000
9397,3107,6290,6288,1,0,1,48029161100,48,029,161100
2678,1269,1409,1409,0,0,0,48029161200,48,029,161200
5707,1962,3745,3710,0,19,16,48029161302,48,029,161302
4251,1827,2424,2398,0,26,0,48029161303,48,029,161303
4345,1239,3106,3106,0,0,0,48029161304,48,029,161304
6223,5170,1053,667,142,244,0,48029161400,48,029,161400
7311,2934,4377,4366,0,11,0,48029161501,48,029,161501
4867,1970,2897,2871,15,11,0,48029161503,48,029,161503
4086,1705,2381,2339,0,42,0,48029161504,48,029,161504
4480,2274,2206,2160,0,18,28,48029161600,48,029,161600
4035,2650,1385,1211,94,0,80,48029161801,48,029,161801
9397,5841,3556,3434,10,87,25,48029161802,48,029,161802
840,357,483,483,0,0,0,48029161901,48,029,161901
9993,5752,4241,4048,68,89,36,48029161902,48,029,161902
1913,931,982,982,0,0,0,48029162001,48,029,162001
4466,2159,2307,2290,11,6,0,48029162003,48,029,162003
3116,1449,1667,1658,9,0,0,48029162004,48,029,162004
3606,520,3086,3086,0,0,0,48029170101,48,029,170101
3222,725,2497,2495,2,0,0,48029170102,48,029,170102
5401,1813,3588,3588,0,0,0,48029170200,48,029,170200
5947,1786,4161,3959,36,14,152,48029170300,48,029,170300
3860,1110,2750,2612,74,0,64,48029170401,48,029,170401
5026,1311,3715,3715,0,0,0,48029170402,48,029,170402
4231,1679,2552,2496,56,0,0,48029170500,48,029,170500
4483,1749,2734,2721,3,3,7,48029170600,48,029,170600
4802,1112,3690,3687,0,2,1,48029170700,48,029,170700
1628,593,1035,1015,9,11,0,48029170800,48,029,170800
3536,984,2552,2518,23,0,11,48029170900,48,029,170900
5687,1881,3806,3806,0,0,0,48029171000,48,029,171000
3609,1015,2594,2594,0,0,0,48029171100,48,029,171100
3813,751,3062,3050,0,12,0,48029171200,48,029,171200
2717,786,1931,1922,0,9,0,48029171301,48,029,171301
4769,1998,2771,2638,42,68,23,48029171302,48,029,171302
4649,2025,2624,2540,77,0,7,48029171401,48,029,171401
6033,1687,4346,4324,0,22,0,48029171402,48,029,171402
2392,741,1651,1651,0,0,0,48029171501,48,029,171501
4812,1118,3694,3688,3,3,0,48029171502,48,029,171502
3982,1764,2218,2218,0,0,0,48029171601,48,029,171601
4203,1888,2315,2191,106,18,0,48029171602,48,029,171602
8202,4496,3706,3458,92,85,71,48029171700,48,029,171700
5511,2701,2810,2737,0,73,0,48029171801,48,029,171801
6021,2931,3090,3037,17,35,1,48029171802,48,029,171802
12074,7576,4498,3954,93,221,230,48029171902,48,029,171902
6659,2509,4150,4128,0,0,22,48029171903,48,029,171903
7401,4799,2602,2342,71,167,22,48029171912,48,029,171912
5784,3021,2763,2616,50,24,73,48029171913,48,029,171913
5618,2929,2689,2622,43,24,0,48029171914,48,029,171914
2099,1062,1037,1012,8,17,0,48029171915,48,029,171915
8421,5766,2655,2405,29,221,0,48029171916,48,029,171916
9214,5289,3925,3191,142,529,63,48029171917,48,029,171917
5735,3605,2130,2120,10,0,0,48029171918,48,029,171918
4719,3162,1557,1420,20,52,65,48029171919,48,029,171919
8682,4869,3813,3699,33,81,0,48029171920,48,029,171920
4315,2619,1696,1527,47,122,0,48029171921,48,029,171921
3158,2031,1127,1012,43,72,0,48029171922,48,029,171922
9683,6098,3585,3325,0,260,0,48029171923,48,029,171923
7365,4983,2382,1995,15,302,70,48029171924,48,029,171924
9648,5792,3856,3097,257,220,282,48029171925,48,029,171925
16368,11435,4933,4500,57,283,93,48029172002,48,029,172002
4682,3013,1669,1331,96,227,15,48029172003,48,029,172003
6963,5293,1670,1477,65,99,29,48029172004,48,029,172004
8015,5671,2344,1965,86,293,0,48029172005,48,029,172005
8615,6791,1824,1647,0,48,129,48029172006,48,029,172006
10021,7079,2942,2482,257,203,0,48029172007,48,029,172007
5089,2461,2628,2600,28,0,0,48029180101,48,029,180101
1788,1063,725,704,6,15,0,48029180102,48,029,180102
5059,1837,3222,3207,10,5,0,48029180201,48,029,180201
4736,2633,2103,2056,3,44,0,48029180202,48,029,180202
4815,2434,2381,2380,1,0,0,48029180300,48,029,180300
3995,1932,2063,2044,14,5,0,48029180400,48,029,180400
4473,2551,1922,1822,9,22,69,48029180501,48,029,180501
4674,1622,3052,2931,121,0,0,48029180503,48,029,180503
4632,2192,2440,2422,0,18,0,48029180504,48,029,180504
3603,2108,1495,1429,34,32,0,48029180602,48,029,180602
2160,1499,661,590,38,33,0,48029180603,48,029,180603
6315,3842,2473,2253,6,69,145,48029180604,48,029,180604
3858,2213,1645,1354,84,103,104,48029180701,48,029,180701
6332,4118,2214,1743,109,146,216,48029180702,48,029,180702
2690,1672,1018,869,139,0,10,48029180800,48,029,180800
5480,2932,2548,2531,0,11,6,48029180901,48,029,180901
7459,3268,4191,4179,12,0,0,48029180902,48,029,180902
3186,1903,1283,1254,5,24,0,48029181001,48,029,181001
7788,3197,4591,2799,932,505,355,48029181003,48,029,181003
4567,2563,2004,1342,240,146,276,48029181004,48,029,181004
3891,1820,2071,1484,245,13,329,48029181005,48,029,181005
5936,4125,1811,1383,243,185,0,48029181100,48,029,181100
5254,3618,1636,1492,82,62,0,48029181200,48,029,181200
4260,2748,1512,1145,111,192,64,48029181301,48,029,181301
6213,3596,2617,2368,102,79,68,48029181302,48,029,181302
3732,1623,2109,1011,775,231,92,48029181303,48,029,181303
2553,1191,1362,916,180,181,85,48029181402,48,029,181402
6357,3034,3323,1546,734,1043,0,48029181403,48,029,181403
5162,2118,3044,1215,393,1182,254,48029181404,48,029,181404
7813,4665,3148,2246,161,321,420,48029181503,48,029,181503
6294,4461,1833,1374,142,246,71,48029181504,48,029,181504
4707,3124,1583,1509,10,64,0,48029181505,48,029,181505
4189,2612,1577,1468,0,70,39,48029181506,48,029,181506
3268,2083,1185,1133,40,0,12,48029181601,48,029,181601
5525,2677,2848,2699,64,85,0,48029181602,48,029,181602
7189,5000,2189,2040,42,44,63,48029181703,48,029,181703
6221,3372,2849,2586,71,192,0,48029181704,48,029,181704
5200,2702,2498,1871,208,234,185,48029181705,48,029,181705
8619,5735,2884,2236,105,543,0,48029181711,48,029,181711
4115,2902,1213,1098,69,36,10,48029181712,48,029,181712
7552,5744,1808,1732,42,34,0,48029181713,48,029,181713
6201,3776,2425,2399,0,26,0,48029181715,48,029,181715
8160,4312,3848,3711,87,50,0,48029181716,48,029,181716
5440,4478,962,796,83,83,0,48029181718,48,029,181718
4685,3401,1284,1077,42,19,146,48029181720,48,029,181720
3848,2977,871,686,45,104,36,48029181721,48,029,181721
4835,3558,1277,1152,0,87,38,48029181722,48,029,181722
4624,2993,1631,1361,78,192,0,48029181723,48,029,181723
5125,3664,1461,1038,59,364,0,48029181724,48,029,181724
4655,2942,1713,1647,20,46,0,48029181725,48,029,181725
9380,6545,2835,2402,111,168,154,48029181726,48,029,181726
3905,1955,1950,1857,43,30,20,48029181727,48,029,181727
10418,6881,3537,2935,33,219,350,48029181728,48,029,181728
8302,6178,2124,1701,177,138,108,48029181729,48,029,181729
3765,2685,1080,933,103,44,0,48029181730,48,029,181730
7317,5088,2229,2063,43,123,0,48029181731,48,029,181731
1662,1222,440,290,53,67,30,48029181808,48,029,181808
6084,3707,2377,2179,33,84,81,48029181809,48,029,181809
4238,2803,1435,1358,38,21,18,48029181811,48,029,181811
7169,4486,2683,1591,267,504,321,48029181813,48,029,181813
6566,4253,2313,1788,300,116,109,48029181814,48,029,181814
3153,2171,982,837,46,99,0,48029181815,48,029,181815
4382,2865,1517,1267,69,181,0,48029181816,48,029,181816
3647,2183,1464,1220,16,228,0,48029181817,48,029,181817
5850,3768,2082,1282,452,145,203,48029181818,48,029,181818
6899,3317,3582,2103,389,443,647,48029181819,48,029,181819
8255,5164,3091,2186,434,335,136,48029181820,48,029,181820
3346,2423,923,747,42,45,89,48029181821,48,029,181821
4856,3173,1683,1493,76,55,59,48029181822,48,029,181822
3295,2262,1033,643,116,266,8,48029181823,48,029,181823
3119,2457,662,620,2,10,30,48029181824,48,029,181824
4946,2901,2045,1388,202,455,0,48029181825,48,029,181825
7342,5073,2269,1672,262,335,0,48029181826,48,029,181826
5837,3737,2100,1272,318,454,56,48029181901,48,029,181901
7476,4942,2534,1800,535,165,34,48029181902,48,029,181902
5602,4299,1303,902,101,182,118,48029182001,48,029,182001
9684,6801,2883,1727,331,551,274,48029182002,48,029,182002
4621,3036,1585,1128,255,202,0,48029182003,48,029,182003
11490,10075,1415,1070,195,99,51,48029182101,48,029,182101
7811,5992,1819,1476,333,10,0,48029182102,48,029,182102
3506,2610,896,731,117,42,6,48029182103,48,029,182103
5573,3988,1585,1241,147,197,0,48029182105,48,029,182105
7112,5778,1334,984,269,63,18,48029182106,48,029,182106
3385,1783,1602,1579,19,4,0,48029190100,48,029,190100
4318,2964,1354,1241,81,16,16,48029190200,48,029,190200
4152,3214,938,678,94,145,21,48029190400,48,029,190400
3291,1328,1963,1947,7,0,9,48029190501,48,029,190501
3667,1908,1759,1675,67,16,1,48029190503,48,029,190503
2724,1271,1453,1417,13,23,0,48029190504,48,029,190504
4236,1236,3000,2968,32,0,0,48029190601,48,029,190601
3039,1009,2030,1967,0,63,0,48029190603,48,029,190603
4395,1575,2820,2801,0,19,0,48029190604,48,029,190604
2989,1565,1424,1351,49,24,0,48029190700,48,029,190700
1780,1478,302,270,26,6,0,48029190800,48,029,190800
5775,2825,2950,2796,46,90,18,48029190901,48,029,190901
4191,2573,1618,1595,0,23,0,48029190902,48,029,190902
8264,4928,3336,3316,20,0,0,48029191003,48,029,191003
4394,1506,2888,2751,78,59,0,48029191004,48,029,191004
2163,1135,1028,1028,0,0,0,48029191005,48,029,191005
5706,2127,3579,3579,0,0,0,48029191006,48,029,191006
