,0
S0802_C01_001E,Total_Workers 16 years and over
S0802_C01_043E,"Total_Workers 16 years and over_OCCUPATION_Management, business, science, and arts occupations"
S0802_C01_044E,Total_Workers 16 years and over_OCCUPATION_Service occupations
S0802_C01_045E,Total_Workers 16 years and over_OCCUPATION_Sales and office occupations
S0802_C01_046E,"Total_Workers 16 years and over_OCCUPATION_Natural resources, construction, and maintenance occupations"
S0802_C01_047E,"Total_Workers 16 years and over_OCCUPATION_Production, transportation, and material moving occupations"
S0802_C01_048E,Total_Workers 16 years and over_OCCUPATION_Military specific occupations
S0802_C01_050E,Total_Workers 16 years and over_INDUSTRY_Construction
S0802_C01_051E,Total_Workers 16 years and over_INDUSTRY_Manufacturing
S0802_C01_052E,Total_Workers 16 years and over_INDUSTRY_Wholesale trade
S0802_C01_053E,Total_Workers 16 years and over_INDUSTRY_Retail trade
S0802_C01_054E,"Total_Workers 16 years and over_INDUSTRY_Transportation and warehousing, and utilities"
S0802_C01_055E,"Total_Workers 16 years and over_INDUSTRY_Information and finance and insurance, and real estate and rental and leasing"
S0802_C01_056E,"Total_Workers 16 years and over_INDUSTRY_Professional, scientific, management, and administrative and waste management services"
S0802_C01_057E,"Total_Workers 16 years and over_INDUSTRY_Educational services, and health care and social assistance"
S0802_C01_058E,"Total_Workers 16 years and over_INDUSTRY_Arts, entertainment, and recreation, and accommodation and food services"
S0802_C01_070E,Total_Workers 16 years and over who did not work from home
S0802_C01_071E,Total_Workers 16 years and over who did not work from home_TIME OF DEPARTURE TO GO TO WORK_12:00 a.m. to 4:59 a.m.
S0802_C01_072E,Total_Workers 16 years and over who did not work from home_TIME OF DEPARTURE TO GO TO WORK_5:00 a.m. to 5:29 a.m.
S0802_C01_073E,Total_Workers 16 years and over who did not work from home_TIME OF DEPARTURE TO GO TO WORK_5:30 a.m. to 5:59 a.m.
S0802_C01_074E,Total_Workers 16 years and over who did not work from home_TIME OF DEPARTURE TO GO TO WORK_6:00 a.m. to 6:29 a.m.
S0802_C01_075E,Total_Workers 16 years and over who did not work from home_TIME OF DEPARTURE TO GO TO WORK_6:30 a.m. to 6:59 a.m.
S0802_C01_076E,Total_Workers 16 years and over who did not work from home_TIME OF DEPARTURE TO GO TO WORK_7:00 a.m. to 7:29 a.m.
S0802_C01_077E,Total_Workers 16 years and over who did not work from home_TIME OF DEPARTURE TO GO TO WORK_7:30 a.m. to 7:59 a.m.
S0802_C01_078E,Total_Workers 16 years and over who did not work from home_TIME OF DEPARTURE TO GO TO WORK_8:00 a.m. to 8:29 a.m.
S0802_C01_079E,Total_Workers 16 years and over who did not work from home_TIME OF DEPARTURE TO GO TO WORK_8:30 a.m. to 8:59 a.m.
S0802_C01_080E,Total_Workers 16 years and over who did not work from home_TIME OF DEPARTURE TO GO TO WORK_9:00 a.m. to 11:59 p.m.
S0802_C01_081E,Total_Workers 16 years and over who did not work from home_TRAVEL TIME TO WORK_Less than 10 minutes
S0802_C01_082E,Total_Workers 16 years and over who did not work from home_TRAVEL TIME TO WORK_10 to 14 minutes
S0802_C01_083E,Total_Workers 16 years and over who did not work from home_TRAVEL TIME TO WORK_15 to 19 minutes
S0802_C01_084E,Total_Workers 16 years and over who did not work from home_TRAVEL TIME TO WORK_20 to 24 minutes
S0802_C01_085E,Total_Workers 16 years and over who did not work from home_TRAVEL TIME TO WORK_25 to 29 minutes
S0802_C01_086E,Total_Workers 16 years and over who did not work from home_TRAVEL TIME TO WORK_30 to 34 minutes
S0802_C01_087E,Total_Workers 16 years and over who did not work from home_TRAVEL TIME TO WORK_35 to 44 minutes
S0802_C01_088E,Total_Workers 16 years and over who did not work from home_TRAVEL TIME TO WORK_45 to 59 minutes
S0802_C01_089E,Total_Workers 16 years and over who did not work from home_TRAVEL TIME TO WORK_60 or more minutes
S0802_C02_001E,"Car, truck, or van -- drove alone_Workers 16 years and over"
S0802_C02_091E,"Car, truck, or van -- drove alone_Workers 16 years and over in households"
S0802_C02_094E,"Car, truck, or van -- drove alone_Workers 16 years and over in households_VEHICLES AVAILABLE_No vehicle available"
S0802_C02_095E,"Car, truck, or van -- drove alone_Workers 16 years and over in households_VEHICLES AVAILABLE_1 vehicle available"
S0802_C02_096E,"Car, truck, or van -- drove alone_Workers 16 years and over in households_VEHICLES AVAILABLE_2 vehicles available"
S0802_C02_097E,"Car, truck, or van -- drove alone_Workers 16 years and over in households_VEHICLES AVAILABLE_3 or more vehicles available"
S0802_C03_001E,"Car, truck, or van -- carpooled_Workers 16 years and over"
FIPS,_fips
STATEFP,_statefp
COUNTYFP,_countyfp
TRACTCE,_tractce
