,0
S1601_C01_001E,Total_Population 5 years and over
S1601_C01_002E,Total_Population 5 years and over_Speak only English
S1601_C01_003E,Total_Population 5 years and over_Speak a language other than English
S1601_C01_004E,Total_Population 5 years and over_SPEAK A LANGUAGE OTHER THAN ENGLISH_Spanish
S1601_C01_008E,Total_Population 5 years and over_SPEAK A LANGUAGE OTHER THAN ENGLISH_Other Indo-European languages
S1601_C01_012E,Total_Population 5 years and over_SPEAK A LANGUAGE OTHER THAN ENGLISH_Asian and Pacific Island languages
S1601_C01_016E,Total_Population 5 years and over_SPEAK A LANGUAGE OTHER THAN ENGLISH_Other languages
FIPS,_fips
STATEFP,_statefp
COUNTYFP,_countyfp
TRACTCE,_tractce
